repository_name,owner_username,stars,repository_url
scikit-learn,scikit-learn,51000,https://gitub.com/scikit-learn/scikit-learn
superset,apache,47600,https://gitub.com/apache/superset
pandas,pandas-dev,34800,https://gitub.com/pandas-dev/pandas
metabase,metabase,29400,https://gitub.com/metabase/metabase
AI-Expert-Roadmap,AMAI-GmbH,21100,https://gitub.com/AMAI-GmbH/AI-Expert-Roadmap
streamlit,streamlit,20200,https://gitub.com/streamlit/streamlit
CyberChef,gchq,17200,https://gitub.com/gchq/CyberChef
Data-Science-For-Beginners,microsoft,15700,https://gitub.com/microsoft/Data-Science-For-Beginners
goaccess,allinurl,15000,https://gitub.com/allinurl/goaccess
best-of-ml-python,ml-tooling,11400,https://gitub.com/ml-tooling/best-of-ml-python
pandas-profiling,ydataai,9300,https://gitub.com/ydataai/pandas-profiling
OpenRefine,OpenRefine,8900,https://gitub.com/OpenRefine/OpenRefine
mlcourse.ai,Yorko,8300,https://gitub.com/Yorko/mlcourse.ai
gradio,gradio-app,8300,https://gitub.com/gradio-app/gradio
pandas_exercises,guipsamora,8000,https://gitub.com/guipsamora/pandas_exercises
statsmodels,statsmodels,7600,https://gitub.com/statsmodels/statsmodels
airbyte,airbytehq,7600,https://gitub.com/airbytehq/airbyte
dataease,dataease,6500,https://gitub.com/dataease/dataease
pyod,yzhao062,6100,https://gitub.com/yzhao062/pyod
imbalanced-learn,scikit-learn-contrib,6000,https://gitub.com/scikit-learn-contrib/imbalanced-learn
gonum,gonum,6000,https://gitub.com/gonum/gonum
alluxio,Alluxio,5800,https://gitub.com/Alluxio/alluxio
pachyderm,pachyderm,5600,https://gitub.com/pachyderm/pachyderm
Data-Analysis-and-Machine-Learning-Projects,rhiever,5300,https://gitub.com/rhiever/Data-Analysis-and-Machine-Learning-Projects
akshare,akfamily,5300,https://gitub.com/akfamily/akshare
Ai-Learn,tangyudi,5300,https://gitub.com/tangyudi/Ai-Learn
knowledge-repo,airbnb,5200,https://gitub.com/airbnb/knowledge-repo
awesome-R,qinwf,5100,https://gitub.com/qinwf/awesome-R
cudf,rapidsai,4900,https://gitub.com/rapidsai/cudf
weibospider,SpiderClub,4700,https://gitub.com/SpiderClub/weibospider
